Time (sec),gpsFix,extended_solution_status,solution_age_seconds,datetime,gpsFixType,gpsNumSV,gpsNumSV_L1,gpsNumSV_MF,latx_gps,lonx_gps,ecef_velocity_x,ecef_velocity_y,ecef_velocity_z,hdop,pdop,gpsAltitude,position_north_std,position_east_std,position_down_std,velocity_north_std,velocity_east_std,velocity_down_std,unix_time_s,Time deltas (sec),Data Frequency (Hz)
46.843542,True,2,0.0,1744856330,3,22,22,0,-27.51052,153.137457,0.025294,-0.024863,0.030269,0.685999,1.328999,62.666541,2.134924,1.943293,2.342408,0.0509,0.049976,0.058128,3328.211747,0.099306,10.069913
46.944632,True,2,0.0,1744856330,3,22,22,0,-27.510521,153.137457,-0.018506,0.005576,0.016948,0.685999,1.328999,62.915921,2.133589,1.941877,2.341599,0.050879,0.049959,0.058114,3328.312837,0.10109,9.892199
47.043935,True,2,0.0,1744856330,3,22,22,0,-27.510521,153.137457,0.005186,-0.014428,0.008599,0.685999,1.328999,62.928978,2.133428,1.940906,2.340619,0.05086,0.049943,0.058099,3328.41214,0.099303,10.070156
47.143687,True,2,0.0,1744856330,3,22,22,0,-27.510521,153.137458,9.4e-05,0.003899,0.000826,0.685999,1.328999,62.948569,2.131035,1.938582,2.337767,0.050842,0.049928,0.058086,3328.511891,0.099751,10.024939
47.243739,True,2,0.0,1744856330,3,22,22,0,-27.510521,153.137458,-0.006696,-0.001288,-0.001864,0.685999,1.328999,62.905668,2.129596,1.937341,2.336787,0.050826,0.049914,0.058075,3328.611943,0.100052,9.994771
47.344023,True,2,0.0,1744856330,3,22,22,0,-27.51052,153.137459,-0.011229,0.000767,0.019254,0.685999,1.328999,62.888215,2.127335,1.935872,2.334848,0.05081,0.049902,0.058064,3328.712228,0.100284,9.971658
47.446791,True,2,0.0,1744856331,3,22,22,0,-27.51052,153.137459,0.016521,-0.009491,0.009896,0.685999,1.328999,62.935648,2.126788,1.935067,2.334329,0.050797,0.04989,0.058054,3328.814996,0.102768,9.730643
47.543442,True,2,0.0,1744856331,3,22,22,0,-27.510519,153.137459,0.042247,-0.022783,0.017179,0.685999,1.328999,62.935824,2.124113,1.932365,2.331209,0.050784,0.049879,0.058045,3328.911646,0.09665,10.346565
47.643678,True,2,0.0,1744856331,3,22,22,0,-27.510519,153.137459,-0.013562,-0.010005,-0.004801,0.685999,1.328999,63.02283,2.125639,1.932605,2.332275,0.050772,0.049869,0.058036,3329.011882,0.100236,9.976452
47.744447,True,2,0.0,1744856331,3,22,22,0,-27.510519,153.137458,0.007274,0.00714,-0.002661,0.685999,1.328999,63.052687,2.123045,1.930169,2.329521,0.050762,0.049861,0.05803,3329.112652,0.10077,9.923637
47.843543,True,2,0.0,1744856331,3,22,22,0,-27.510519,153.137459,0.006763,0.003958,-0.000667,0.685999,1.328999,63.066876,2.123307,1.929584,2.329686,0.050753,0.049853,0.058023,3329.211748,0.099096,10.091231
